ULICE,město,POCET celkem,POCET doprava
Nad Dědinou,Brno,7,1
Nad Kašnou,Brno,2,
Nad Pisárkami,Brno,1,1
Nad Přehradou,Brno,41,
Nadační,Brno,24,2
Navrátilova,Brno,19,
Nedbalova,Brno,2,1
Nejedlého,Brno,34,2
Neklanova,Brno,21,1
Neklež,Brno,6,1
Nerudova,Brno,178,
Netopýrky,Brno,122,3
Netroufalky,Brno,971,123
Netušilova,Brno,12,
Neumannova,Brno,2,
Neužilova,Brno,129,1
Nezamyslova,Brno,19,9
Nezvalova,Brno,34,
Nešverova,Brno,2,
Nivky,Brno,4,1
Nohavicova,Brno,2,
Nopova,Brno,74,2
Nouzová,Brno,2,
Novobranská,Brno,197,4
Novodvorská,Brno,3,
Novolíšeňská,Brno,217,36
Novoměstská,Brno,78,3
Nová,Brno,1,
Nováčkova,Brno,129,3
Nové Nivky,Brno,1,
Nové Náměstí,Brno,7,
Nové Sady,Brno,196,6
Nádražní,Brno,1388,825
Nádvorní,Brno,139,24
Náhorní,Brno,2,
Nálepkova,Brno,21,1
Náměstí 28. Dubna,Brno,113,53
Náměstí 28. Října,Brno,386,6
Náměstí 3. Května,Brno,2,1
Náměstí Karla IV.,Brno,9,1
Náměstí Míru,Brno,14,4
Náměstí Odboje,Brno,1,
Náměstí Republiky,Brno,84,5
Náměstí SNP,Brno,107,8
Náměstí Svobody,Brno,208,73
Náměstí Svornosti,Brno,53,21
Náplavka,Brno,31,8
Nárožní,Brno,1,
Návrší Svobody,Brno,1,
Obecní,Brno,13,
Obilní Trh,Brno,1303,10
Obilní Trh-11,Brno,1,
Obilní Trh-U,Brno,1,
Oblá,Brno,586,34
Obvodová,Brno,139,4
Obřanská,Brno,52,2
Obůrky,Brno,3,
Odbojářská,Brno,16,1
Oderská,Brno,48,10
Odlehlá,Brno,1,
Okrouhlá,Brno,118,5
Okružní,Brno,24,19
Olbrachtovo Náměstí,Brno,31,
Oldřišky Keithové,Brno,1,
Olomoucká,Brno,72,11
Olšová,Brno,4,
Olší,Brno,1,1
Ondrouškova,Brno,43,12
Ondrova,Brno,24,14
Ondráčkova,Brno,10,3
Ondříčkovo Náměstí,Brno,4,2
Opavská,Brno,78,11
Opletalova,Brno,113,1
Optátova,Brno,16,4
Opuštěná,Brno,13,1
Opálkova,Brno,66,13
Orlí,Brno,389,3
Osová,Brno,32,5
Ostopovická,Brno,1,
Ostrovačická,Brno,7,1
Ostružinová,Brno,4,
Ostrá,Brno,5,
Otakara Ševčíka,Brno,26,1
Otevřená,Brno,11,1
Otiskova,Brno,1,1
Ovocná,Brno,5,1
Ořechovská,Brno,54,
Ořešínská,Brno,2,
Pahrbek,Brno,3,2
Palachovo Náměstí,Brno,85,
Palackého Náměstí,Brno,36,
Palackého Třída,Brno,1435,20
Palackého Vrch,Brno,5,5
Palcary,Brno,464,38
Palírenská,Brno,2,
Panenská,Brno,4,
Panská,Brno,70,
Park Marie Restituty,Brno,1,1
Pastrnkova,Brno,30,5
Pastviny,Brno,77,33
Pavlovská,Brno,49,24
Pavlíkova,Brno,2,
Pechova,Brno,16,1
Pekařská,Brno,1106,12
Pekárenská,Brno,34,
Pellicova,Brno,2249,7
Peroutková,Brno,16,
Perunova,Brno,5,
Petra Křivky,Brno,421,67
Petrov,Brno,21,
Petrská,Brno,219,1
Petrůvky,Brno,1,1
Petřvaldská,Brno,2,
Pflegrova,Brno,2,
Pionýrská,Brno,4,1
Pisárecká,Brno,18,1
Pivovarská,Brno,19,3
Plachtova,Brno,3,2
Plachty,Brno,57,7
Plevova,Brno,10,1
Plotní,Brno,122,21
Plovdivská,Brno,111,4
Plynárenská,Brno,2,1
Pod Borovníkem,Brno,1,1
Pod Cestou,Brno,1,
Pod Holednou,Brno,1,1
Pod Horkou,Brno,18,3
Pod Hády,Brno,1,1
Pod Kaštany,Brno,267,73
Pod Kopcem,Brno,12,3
Pod Mniší,Brno,1,
Pod Mniší Horou,Brno,52,
Pod Nemocnicí,Brno,58,10
Pod Sídlištěm,Brno,2,1
Pod Zahradami,Brno,1,
Pod Červenou,Brno,2,
Podbělová,Brno,9,
Podhájí,Brno,3,3
Podlesná,Brno,1,1
Podlesí,Brno,5,
Podlipná,Brno,8,3
Podlomní,Brno,2,
Podnikatelská,Brno,106,
Podnásepní,Brno,14,3
Podolská,Brno,3,3
Podpísečná,Brno,46,
Podpěrova,Brno,23,2
Podruhova,Brno,7,1
Podsedky,Brno,13,5
Podsednická,Brno,8,
Podskalská,Brno,1,
Podstránská,Brno,4,3
Podveská,Brno,10,3
Poděbradova,Brno,23,
Pohankova,Brno,6,
Pohořelec,Brno,23,2
Polní,Brno,627,40
Poláčkova,Brno,30,3
Polívkova,Brno,4,
Pompova,Brno,2,1
Ponávka,Brno,339,2
Popelova,Brno,1,1
Popelákova,Brno,11,1
Porhajmova,Brno,40,4
Porážka,Brno,1,
Potocká,Brno,5,1
Potácelova,Brno,17,
Poznaňská,Brno,78,7
Poříčí,Brno,426,5
Poštovská,Brno,112,1
Požární,Brno,1,1
Pramenná,Brno,5,
Pratecká,Brno,1,
Pražská,Brno,80,1
Pražákova,Brno,36,
Preslova,Brno,3,1
Prodloužená,Brno,2,1
Prokešova,Brno,1,1
Prokofjevova,Brno,29,1
Prokopa Velikého,Brno,1,
Prokopův Kopec,Brno,1,
Prostějovská,Brno,10,2
Prostřední,Brno,1,
Provazníkova,Brno,291,1
Proškovo Náměstí,Brno,5,1
Prumperk,Brno,2,
Prušánecká,Brno,146,7
Práčata,Brno,2,2
Průchodní,Brno,8,1
Ptašínského,Brno,30,1
Puchýřova,Brno,10,
Purkyňova,Brno,974,18
Puškinova,Brno,3,
Pálavské,Brno,1,
Pálavské Náměstí,Brno,243,46
Páteřní,Brno,19,
Písečník,Brno,1,
Píškova,Brno,2,
Přadlácká,Brno,446,3
Přední,Brno,11,6
Přemyslovo Náměstí,Brno,19,10
Příkop,Brno,207,4
Přímá,Brno,7,
Přírodní,Brno,113,
Přístaviště,Brno,1,
Přístavní,Brno,341,55
Přívrat,Brno,19,1
Přízova,Brno,29,3
Příčky,Brno,2,1
Příční,Brno,101,2
Pšeník,Brno,25,1
Pšikalova,Brno,3,
Radlas,Brno,9,
Radnická,Brno,179,
Raisova,Brno,4,
Rajhradská,Brno,3,2
Rakovecká,Brno,822,195
Rakovecká Hotel,Brno,11,
Rakovecká Zátoka,Brno,1,1
Ramešova,Brno,13,
Rašelinová,Brno,2,1
Rašínova,Brno,62,3
Rebešovická,Brno,11,6
Reissigova,Brno,37,
Rekreační,Brno,12,
Renneská Třída,Brno,142,24
Renčova,Brno,36,4
Rerychova,Brno,116,5
Resslova,Brno,35,1
Revoluční,Brno,11,
Rezkova,Brno,11,
Režná,Brno,2,2
Richtrova,Brno,4,
Riegrova,Brno,27,2
Roháčkova,Brno,3,
Rokle,Brno,1,1
Rokycanova,Brno,13,
Rokytova,Brno,226,7
Rolencova,Brno,1,1
Rolnická,Brno,153,2
Rooseveltova,Brno,1342,55
Rosická,Brno,7,
Rosického Náměstí,Brno,13,
Rostislavovo Náměstí,Brno,25,3
Rotalova,Brno,78,3
Rotreklova,Brno,3,
Roubalova,Brno,6,
Rousínovská,Brno,12,11
Rovinka,Brno,2,
Roviny,Brno,9,6
Rovná,Brno,6,
Rozdrojovická,Brno,7,
Rozmarýnová,Brno,7,7
Rozárka,Brno,2,1
Rudišova,Brno,11,1
Rumiště,Brno,95,17
Ruská,Brno,20,1
Ruský Vrch,Brno,1,1
Rybkova,Brno,250,1
Rybnická,Brno,10,3
Rybníček,Brno,20,
Rybářská,Brno,47,1
Rybízová,Brno,5,
Rygle,Brno,2,
Rysova,Brno,9,1
Ryšánkova,Brno,30,2
Rázusova,Brno,11,1
Ríšova,Brno,4,
Růžová,Brno,1,
Sadařská,Brno,1,1
Sadovského,Brno,7,
Sady,Brno,4,
Sady Osvobození,Brno,3,3
Salajní,Brno,3,3
Samoty,Brno,1,1
Scheinerova,Brno,6,1
Schodová,Brno,5,
Schreberovy Zahrádky,Brno,6,6
Schwaigrova,Brno,40,4
Sedla,Brno,1,
Sedlákova,Brno,6,
Sedláčkova,Brno,56,27
Seifertova,Brno,346,35
Sejkorova,Brno,3,
Sekaninova,Brno,6,1
Selská,Brno,11,
Sevastopolská,Brno,99,5
Sevřená,Brno,1,
Sibiřská,Brno,12,1
Sirotkova,Brno,95,
Skalní,Brno,2,2
Skandinávská,Brno,106,36
Skopalíkova,Brno,93,5
Skorkovského,Brno,22,7
Skořepka,Brno,81,
Skryjova,Brno,3,
Skutilova,Brno,5,
Skácelova,Brno,114,1
Skřivanova,Brno,118,3
Skřivánčí,Brno,1,1
Sladkovského,Brno,4,
Sladkého,Brno,2,2
Sladovnická,Brno,5,5
Sladová,Brno,23,
Slatinka,Brno,1,1
Slatinská,Brno,10,
Slavkovská,Brno,5,3
Slavíčkova,Brno,88,1
Slepá,Brno,24,1
Slevačská,Brno,7,3
Slezská,Brno,6,1
Slovanské Náměstí,Brno,86,5
Slovinská,Brno,43,2
Slovákova,Brno,51,1
Slunečná,Brno,10,1
Sládkova,Brno,4,2
Slámova,Brno,49,4
Slívova,Brno,25,22
Smetanova,Brno,565,4
Sobolova,Brno,4,
Sobotkova,Brno,4,
Soběšická,Brno,31,8
Sochorova,Brno,179,8
Sokolnická,Brno,6,2
Sokolova,Brno,596,8
Sokolská,Brno,75,
Solniční,Brno,150,3
Sosnová,Brno,1,
Souběžná,Brno,47,6
Soudní,Brno,41,5
Souhrady,Brno,24,7
Soukenická,Brno,129,
Soukopova,Brno,11,
Sousední,Brno,1,1
Součkova,Brno,13,
Sovinec,Brno,1,
Sovova,Brno,8,
Splaviska,Brno,1,1
Spodní,Brno,131,5
Spojovací,Brno,16,3
Spolková,Brno,12,1
Sportovní,Brno,90,35
Spálená,Brno,8,5
Spáčilova,Brno,31,
Spěšná,Brno,4,1
Srbská,Brno,177,15
Srnčí,Brno,3,
Stamicova,Brno,54,15
Starobrněnská,Brno,369,10
Stará,Brno,32,1
Stará Dálnice,Brno,12,1
Stará Osada,Brno,247,144
Staré Náměstí,Brno,5,2
Stavební,Brno,6,3
Staňkova,Brno,297,6
Stejskalova,Brno,7,2
Stojanova,Brno,50,
Strakatého,Brno,10,2
Strmá,Brno,6,1
Strnadova,Brno,26,5
Stromovka,Brno,1,
Stránská,Brno,4,4
Stránského,Brno,65,22
Strážnická,Brno,2,1
Strážní,Brno,1,1
Studentská,Brno,84,38
Studená,Brno,5,4
Studniční,Brno,1,
Studánka,Brno,150,1
Střední,Brno,164,6
Středova,Brno,28,
Střelnice,Brno,2,1
Střížova,Brno,1,
Sukova,Brno,202,
Suzova,Brno,6,
Sušilova,Brno,59,3
Svahová,Brno,2,
Svatopetrská,Brno,10,3
Svatopluka Čecha,Brno,120,2
Svatoplukova,Brno,101,13
Svitavská,Brno,54,8
Svitavské Nábřeží,Brno,10,4
Svratecká,Brno,560,9
Svážná,Brno,458,20
Synkova,Brno,73,36
Síčka,Brno,1,
Sýpka,Brno,39,
Talichova,Brno,2,
Taussigova,Brno,2,
Technická,Brno,219,19
Tenorova,Brno,3,1
Terasová,Brno,1,
Tererova,Brno,6,1
Terezy Novákové,Brno,103,5
Teslova,Brno,2,1
Teyschlova,Brno,330,11
Tichého,Brno,2,
Tilhonova,Brno,5,5
Tišnovská,Brno,43,
Tkalcovská,Brno,121,109
Tolstého,Brno,5,1
Tomanova,Brno,14,1
Tomečkova,Brno,34,
Tomešova,Brno,2,
Tomkovo Náměstí,Brno,2,
Tomáškova,Brno,5,
Topolky,Brno,27,
Tovačovského,Brno,2,
Točná,Brno,27,1
Traubova,Brno,154,2
Trnitá,Brno,221,
Trnkova,Brno,395,11
Troubská,Brno,3,
Trtílkova,Brno,2,1
Trávníky,Brno,14,
Trávníčkova,Brno,6,
Trýbova,Brno,119,2
Tržní,Brno,9,3
Tuháčkova,Brno,3,
Tumaňanova,Brno,1,
Turgeněvova,Brno,57,21
Turistická,Brno,42,1
Tučkova,Brno,127,5
Tuřanka,Brno,87,8
Tuřanská,Brno,1,1
Tuřanské Náměstí,Brno,6,4
Tvrdonická,Brno,3,2
Tvrdého,Brno,49,
Tylova,Brno,11,
Tyršova,Brno,88,
Tyršův Sad,Brno,12,12
Tábor,Brno,108,7
Táborská,Brno,378,32
Táborského Nábřeží,Brno,11,
Těsnohlídkova,Brno,62,
Těšínská,Brno,41,1
Těžební,Brno,21,3
Třída Generála Píky,Brno,97,9
Třída Kpt. Jaroše,Brno,1034,2
Třískalova,Brno,18,
Tůmova,Brno,4,
U Hřiště,Brno,46,4
U Křivé,Brno,4,2
U Leskavy,Brno,3,2
U Luhu,Brno,3,
U Potoka,Brno,7,6
U Pošty,Brno,254,116
U Sokolovny,Brno,6,1
U Velké,Brno,12,2
U Viaduktu,Brno,33,
U Vlečky,Brno,9,1
U Vodárny,Brno,204,2
U Zoologické Zahrady,Brno,72,3
U Červeného,Brno,14,1
Uhelná,Brno,1200,20
Uhlířova,Brno,1,1
Ukrajinská,Brno,131,10
Ulice Kosmonautů,Brno,23,2
Ulice Ulice,Brno,1,
Ulice Čoupkových,Brno,16,1
Ulička,Brno,60,13
Ulička Václava Havla,Brno,1,
Uprkova,Brno,4,
Urbánkova,Brno,12,1
Urxova,Brno,3,
Uzavřená,Brno,2,2
Uzbecká,Brno,128,2
V Aleji,Brno,47,2
V Luzích,Brno,1,1
V Nové,Brno,3,1
V Újezdech,Brno,56,1
Vachova,Brno,24,3
Vackova,Brno,14,1
Vaculíkova,Brno,41,2
Valašská,Brno,4,1
Valcha,Brno,13,
Valchařská,Brno,23,4
Valouškova,Brno,78,7
Valtická,Brno,54,11
Vaníčkova,Brno,1,
Vančurova,Brno,2,1
Vavřinecká,Brno,18,11
Vaňhalova,Brno,278,5
Vaňkovka,Brno,3,3
Vaňkovo Náměstí,Brno,4,
Vaškova,Brno,2,1
Ve Vaňkovce,Brno,62,54
Vedlejší,Brno,30,
Vejrostova,Brno,63,12
Veleckého,Brno,4,
Veleslavínova,Brno,6,1
Veletržní,Brno,58,
Velkopavlovická,Brno,146,27
Velká Klajdovka,Brno,1,
Venhudova,Brno,39,1
Veselá,Brno,1413,20
Veslařská,Brno,166,5
Veveří,Brno,2098,1055
Vilová,Brno,1,1
Vinařického,Brno,40,
Vinařská,Brno,56,7
Viniční,Brno,461,32
Vinohradská,Brno,9,9
Vinohrady,Brno,31,6
Vitáskova,Brno,2,
Višňová,Brno,1,1
Vlasty Fialové,Brno,1,
Vlasty Pittnerové,Brno,1,1
Vlhká,Brno,135,4
Vlkova,Brno,10,4
Vlnitá,Brno,12,5
Vltavská,Brno,39,2
Vlárská,Brno,3,2
Vlčnovská,Brno,30,
Vnitřní,Brno,6,
Vodařská,Brno,6,4
Vodní,Brno,220,8
Vodova,Brno,178,12
Vohnoutova,Brno,3,1
Vojanova,Brno,11,3
Vojtova,Brno,102,
Volejníkova,Brno,3,
Volfova,Brno,5,
Vomáčkova,Brno,3,
Vondrákova,Brno,68,37
Voroněžská,Brno,52,23
Voříškova,Brno,263,22
Vranovská,Brno,250,12
Vrbenského,Brno,5,
Vrbovecká,Brno,1,
Vrchlického Sad,Brno,109,3
Vránova,Brno,20,1
Vrázova,Brno,31,5
Vsetínská,Brno,27,2
Vychodilova,Brno,101,14
Vycházková,Brno,2,2
Vyhlídalova,Brno,10,
Vyhlídka,Brno,1,
Vymazalova,Brno,4,1
Vysoká,Brno,10,
Vyškovská,Brno,4,3
Vzdálená,Brno,1,1
Vzhledná,Brno,6,
Václavkova,Brno,6,1
Václavská,Brno,292,5
Vápenka,Brno,6,
Vážného,Brno,35,
Vídeňská,Brno,347,109
Vítězná,Brno,15,
Vítězslavy Kaprálové,Brno,9,
Výhon,Brno,5,1
Výletní,Brno,5,1
Výstavní,Brno,184,1
Výzkumní,Brno,1,
Výšina,Brno,9,
Věstonická,Brno,102,5
Větrná,Brno,22,2
Všetičkova,Brno,18,
Wainerovo Náměstí,Brno,7,7
Weissova,Brno,4,
Wilsonův Les,Brno,12,12
Wintrova,Brno,1,1
Wollmanova,Brno,70,
Wurmova,Brno,6,
Ypsilantiho,Brno,35,2
Za Divadlem,Brno,626,11
Za Kněžským,Brno,4,
Za Kostelem,Brno,7,2
Za Mostem,Brno,26,16
Za Parkem,Brno,1,
Za Vodojemem,Brno,3,
Za Školou,Brno,8,
Zachova,Brno,5,
Zahradnická,Brno,195,4
Zahradníkova,Brno,285,4
Zaječí Hora,Brno,29,
Zamilovaný Hájek,Brno,1,1
Zapletalova,Brno,171,1
Zatloukalova,Brno,1,1
Zavřená,Brno,11,
Zborovská,Brno,174,5
Zderadova,Brno,11,2
Zdráhalova,Brno,51,6
Zeiberlichova,Brno,29,1
Zeleného,Brno,10,2
Zelná,Brno,4,3
Zelný Trh,Brno,1075,8
Zemkova,Brno,11,
Zemědělská,Brno,269,33
Zengrova,Brno,1,
Zeyerova,Brno,4,
Zezulova,Brno,1,
Zikova,Brno,11,4
Zlatníky,Brno,2,
Zlínská,Brno,4,
Zoubkova,Brno,74,
Zubatého,Brno,4,2
Zvonařka,Brno,17,4
Zvěřinova,Brno,73,42
Zábranského,Brno,3,1
Zábrdovická,Brno,29,6
Záhumní,Brno,7,
Záhřebská,Brno,77,33
Zájezdní,Brno,1,1
Zákoutí,Brno,2,1
Zámecká,Brno,91,8
Zámečnická,Brno,71,3
Závist,Brno,2,
Závodní,Brno,1,
Závodského,Brno,1,
Závětří,Brno,2,
Zázmolí,Brno,2,
Údolní,Brno,1222,12
Údolí Oddechu,Brno,2,2
Úhledná,Brno,1,
Újezdy,Brno,1,1
Úlehle,Brno,2,1
Úpatní,Brno,17,1
Útěchovská,Brno,16,3
Úvoz,Brno,348,3
Úzká,Brno,148,139
Čajkovského,Brno,14,
Čechyňská,Brno,71,3
Čejkova,Brno,2,
Čejkovická,Brno,23,5
Čermákova,Brno,29,2
Černohorská,Brno,102,2
Černopolní,Brno,641,11
Černovická,Brno,23,3
Černovické Nábřeží,Brno,5,4
Černovičky,Brno,9,8
Černozemní,Brno,1,1
Černého,Brno,297,66
Černíkova,Brno,1,
Čertova Rokle,Brno,2,2
Červený Kopec,Brno,5,
Červinkova,Brno,18,
Česká,Brno,39,11
Čeňka Růžičky,Brno,56,2
Čichnova,Brno,16,11
Čihadla,Brno,1,1
Čtvrtě,Brno,8,
Čápkova,Brno,167,3
Řehořova,Brno,60,8
Řezáčova,Brno,61,8
Řečkovická,Brno,9,9
Římské Náměstí,Brno,2,2
Řípská,Brno,133,67
Říčanská,Brno,35,5
Šafaříkova,Brno,2,
Šaldova,Brno,11,
Šalounova,Brno,1,1
Šaumannova,Brno,8,3
Šelepova,Brno,21,
Šemberova,Brno,9,
Šeránkova,Brno,25,
Ševcova,Brno,2,
Ševelova,Brno,3,2
Šeříková,Brno,1,
Šikmá,Brno,1,
Šilingrovo Náměstí,Brno,195,1
Šimáčkova,Brno,9,6
Široká,Brno,2,1
Škrobárenská,Brno,14,5
Škrochova,Brno,5,
Škroupova,Brno,72,3
Škrétova,Brno,9,
Škárova,Brno,4,
Šmahova,Brno,17,3
Šmejkalova,Brno,27,3
Šmídkova,Brno,1,
Šoustalova,Brno,7,
Špačkova,Brno,3,
Špilberk,Brno,59,17
Špitálka,Brno,76,2
Šromova,Brno,12,6
Šrámkova,Brno,8,1
Štefánikova,Brno,517,236
Štefáčkova,Brno,9,2
Štolcova,Brno,34,3
Štouračova,Brno,93,3
Štursova,Brno,10,1
Štýřické Nábřeží,Brno,16,
Štěpánská,Brno,53,2
Šujanovo Náměstí,Brno,27,19
Šumavská,Brno,425,121
Švermova,Brno,73,15
Švermův Park,Brno,5,4
Švábenského,Brno,1,
Švédská,Brno,4,
Šámalova,Brno,60,15
Žabovřeská,Brno,1,1
Žabovřeské Zahrádky,Brno,3,3
Žabí,Brno,1,
Žampachova,Brno,5,
Žarošická,Brno,35,9
Žebětínek,Brno,1,
Žebětínská,Brno,102,20
Železniční,Brno,12,5
Žerotínovo Náměstí,Brno,202,1
Žilkova,Brno,9,
Žitná,Brno,46,1
Živného,Brno,25,
Životského,Brno,18,14
Žižkova,Brno,152,9
Žleb,Brno,1,
Žlutý Kopec,Brno,33,
Žlíbek,Brno,1,
